Density,cohesion, friction, angle,Height,ru,Status
21.8,32.7,27,50,50,0,Failure
21.8,28.8,26,35,99,0,Failure
26.2,42.8,37,30,37,0,Stable
22,10,35,30,10,0.29,Stable
19.6,21.8,29.5,37.8,40.3,0.25,Stable
18.6,0,32,26.5,46,0.25,Stable
27.3,10,39,41,511,0.29,Stable
28.07,35,38.93,44.54,361.51,0.24,Stable
19.63,11.97,20,22,12.2,0.41,Failure
27,50,40,42,407,0.29,Stable
21.73,9.21,30.6,33.06,19.78,0.29,Stable
27.3,14,31,41,110,0.29,Stable
26.69,50,26.6,50,170,0.25,Stable
26.5,35.4,32,30,21,0,Stable
26.5,41.8,36,42,54,0,Stable
18.7724,19.95665,9.99,25.016,50,0.3,Failure
29.7,38.09,32.92,45.48,410.4,0.26,Stable
26.2,42.3,36,23,36,0,Stable
20.6,16.28,26.5,30,40,0.25,Failure
20.9592,19.95665,40.005,40.015,12,0,Stable
20.6,28.5,27,40,65,0,Failure
17.29,0,37.22,44.55,42.3,0.28,Failure
12.34,0,25.92,46.82,8.08,0.43,Failure
27,37.5,35,37.8,320,0.29,Stable
24.9636,120.04,45,53,120,0,Stable
22.1,45.8,49.5,45.8,49.5,0.21,Stable
11.94,0,31.75,32.49,3.92,0.11,Stable
17.9772,45.015,25.02,25.016,14,0.3,Stable
20.6,32.4,26,30,42,0,Failure
18.8,8,26,21.8,40,0.4,Failure
31.3,68,37,47,360.5,0.25,Failure
26.83,13.98,35.46,43.5,96.14,0.23,Stable
21.2,0,35,23.75,150,0.25,Stable
22,0,36,45,50,0,Failure
17.9772,24.008,30.15,44.997,20,0.12,Failure
20,20,36,45,30,0.503,Failure
24.57,9.98,41.31,35.46,526.13,0.27,Stable
21.5,29.8,26,40,70,0,Failure
27.1,22,18.6,25.6,100,0.19,Failure
22,10,36,45,50,0.29,Failure
21.6,6.5,19,40,50,0,Failure
20.97,21.8,31.81,38.09,57.75,0.24,Failure
26.8,37.5,32,30,26,0,Stable
25.9576,150.05,45,49.979,200,0,Stable
19.9652,10.05335,28.98,34.026,6,0.3,Stable
22.54,29.4,20,24,210,0,Stable
26,42.4,37,38,55,0,Stable
20.41,24.9,13,22,10.67,0,Stable
21,20,24,21,565,0,Stable
31.3,68,37,49,200.5,0.25,Failure
20.6,32.4,26,35,55,0,Failure
16.05,11.49,0,30,3.66,0,Failure
25,46,36,44.5,299,0,Stable
19.43,11.16,0,32.34,5.35,0.36,Failure
20,30.3,25,45,53,0,Failure
21.9816,19.95665,36,44.997,50,0,Failure
27.3,31.5,29.703,41,135,0.293,Stable
21.5,15,29,41.5,123.6,0.36,Stable
20.8,14.8,21,30,40,0,Failure
25.8,43.3,37,30,33,0,Stable
20.41,33.52,11,16,45.72,0,Failure
27,40,35,47.1,292,0,Failure
24,40.8,35,35,50,0,Stable
22.4,100,45,45,15,0.25,Failure
25,63,32,46,300,0.25,Stable
18,24,30.2,45,20,0.12,Failure
26.81,60,28.8,59,108,0.25,Stable
28.35,44.97,33.49,43.16,413.42,0.25,Failure
19.0848,10.05335,9.99,25.016,50,0.4,Failure
27,27.3,29.1,35,150,0.26,Failure
31.3,68,37,8,305.5,0.25,Failure
25,48,40,49,330,0,Stable
18.8008,57.46915,19.98,19.981,30.6,0,Stable
27,32,33,42,301,0.25,Failure
25,46,35,46,393,0,Stable
18.84,0,20,20,7.6,0.45,Failure
20.3912,24.9083,13.005,21.995,10.6,0.35,Stable
26,15,45,50,200,0,Stable
31.3,58.8,35.5,47.5,438.5,0.25,Failure
18.6588,26.4088,14.985,34.98,8.2,0,Failure
21.1,10,30.34,30,20,0,Stable
25.8,41.2,35,30,40,0,Stable
21.4704,6.9023,30.015,31.005,76.8,0.38,Failure
23.47,0,32,37,214,0,Failure
20,0,20,20,8,0.35,Stable
23,20,20.3,46.2,40.3,0.25,Stable
31.3,58.8,35.5,47.5,502.7,0.25,Failure
26,39.4,36,25,30,0,Stable
27.3,10,39,40,480,0,Stable
21.8,27.6,25,35,60,0,Failure
21.4,28.8,20,50,52,0,Failure
19.9652,40.06335,30.015,29.998,15,0.3,Stable
20,8,20,10,10,0,Failure
23.8,31,38.7,47.5,23.5,0.31,Stable
26.6,42.4,37,25,52,0,Stable
28.4,39.16305,37.98,34.98,100,0,Stable
21.51,17.82,31.75,47.03,49.92,0.52,Failure
22,0,40,33,8,0.35,Failure
23,0,20,20,100,0.3,Failure
21.43,0,20,20,61,0,Failure
26.6,40.7,35,35,60,0,Stable
27.83,45.01,35.95,47.83,456.38,0.25,Stable
25,46,35,44,435,0.29,Stable
18.71,4.75,28.12,18.81,8.62,0.31,Stable
26.6,44.1,38,35,42,0,Stable
28.4,29.4098,35.01,34.98,100,0,Stable
19.028,11.7039,27.99,34.98,21,0.11,Failure
18.45,0,18.58,17.82,7.55,0.43,Failure
27,35,35,42,359,0.29,Stable
31.3,68.6,37,47.5,262.5,0.25,Failure
31.3,68,37,46,366,0.25,Failure
27,43,35,43,420,0.29,Failure
12,0,30,35,4,0.25,Stable
26.18,159,44.93,31.5,172.98,0.1,Failure
19.32,0,19.44,20.2,68.48,0.45,Failure
30,27.38,34.57,43.46,319.21,0.27,Failure
12,0,30,45,8,0,Failure
28.51,42.34,32.2,43.25,453.6,0.25,Stable
11.82,0,33.7,31.26,3.91,0.42,Stable
18.84,15.32,30,25,10.67,0,Stable
27,35.8,32,30,69,0,Stable
18,21,21.33,21.8,40,0.4,Failure
17.8,21.2,13.92,18.43,51,0.4,Stable
27.3,16.2,28,50,90.5,0.29,Stable
22.3,20.1,31,40.2,88,0.19,Stable
22.5,20,16,25,220,0,Stable
13.9728,12.004,26.01,29.998,88,0,Failure
25,46,35,46,432,0.29,Stable
20,30,36,45,50,0.29,Failure
23.2,31.2,23,30,33,0,Failure
25.4,33,33,20,35,0,Failure
26,150.05,45,50,200,0.25,Stable
19.9652,40.06335,40.005,40.015,10,0.2,Stable
20.3912,33.46115,10.98,16.006,45.8,0.2,Failure
28.44,39.23,38,35,100,0.25,Stable
21,10,30.343,30,30,0.29,Stable
22,29,15,18,400,0,Failure
27.8,27.8,27,41,236,0.1,Stable
26.5,42.9,38,34,36,0,Stable
18.8292,24.75825,21.285,29.203,37,0.5,Failure
21.9816,19.95665,22.005,19.981,180,0,Failure
18.8008,15.3051,30.015,25.016,10.6,0.38,Stable
21.83,8.62,32,28,12.8,0,Failure
22.85,8.46,38.12,25.67,11.34,0.56,Stable
18.5,25,0,30,6.003,0.29,Failure
27,38.4,33,25,22,0,Stable
24,41.5,36,30,51,0,Stable
21.43,0,20,20,61,0.5,Failure
26,150,45,30,230,0.29,Stable
18.5,12,0,30,6.003,0.29,Failure
22.3792,10.05335,35.01,44.997,10,0.4,Failure
20.5616,16.2054,26.505,29.998,40,0,Failure
31,68,37,46,366,0.25,Failure
21.3568,10.05335,30.33,29.998,20,0,Stable
25,46,35,50,284,0,Stable
27,32,33,42.2,239,0.29,Stable
25.6,36.8,34,35,60,0,Stable
20,0,36,45,50,0.5,Failure
19.0848,10.05335,19.98,29.998,50,0.4,Failure
33.16,68.54,41.11,51.98,188.15,0.44,Failure
21.2,0,35,18.43,73,0.25,Stable
20.6,26.31,22,25,35,0,Failure
18.46,25.05835,0,29.998,6,0,Failure
22.3,0,40,26.5,78,0.25,Stable
12,0,30,35,4,0.29,Stable
18.12,10.57,30.84,32.45,21.77,0.11,Failure
19.6,29.6,23,40,58,0,Failure
27,27.3,29.1,37,184,0.22,Failure
25,55,36,45,299,0.25,Stable
22.5,18,20,20,290,0,Stable
18.8008,14.4048,25.02,19.981,30.6,0.45,Failure
12,0,30,45,4,0,Stable
23.47,0,32,37,214,0,Stable
20.41,33.52,11,16,10.67,0.35,Stable
25.4,33,33,20,35,0,Stable
27.3,31.5,30,41,135,0.25,Stable
21.4,10,30,30,20,0.25,Stable
18.66,8.8,15,35,8.2,0,Failure
28.4,9.8,35,35,100,0,Stable
25.96,50,45,50,200,0,Stable
18.46,8.35,0,30,6,0,Failure
21.36,3.35,30,30,20,0,Stable
15.99,23.35,20,40,115,0,Failure
20.39,8.3,13,22,10.6,0.35,Stable
19.6,4,20,22,12.2,0.41,Failure
20.39,11.15,11,16,45.8,0.2,Failure
19.03,3.9,28,35,21,0.11,Failure
17.98,1.65,30,20,8,0.3,Stable
20.96,6.65,40,40,12,0,Stable
20.96,11.65,28,40,12,0.5,Stable
19.97,3.35,29,34,6,0.3,Stable
18.77,10,10,25,50,0.1,Stable
18.77,10,20,30,50,0.1,Stable
18.77,8.35,20,30,50,0.2,Failure
20.56,5.4,27,30,40,0,Failure
16.47,3.85,0,30,3.6,0,Failure
18.8,4.8,25,20,30.6,0,Stable
18.8,19.15,20,20,30.6,0,Stable
28.4,13.05,38,35,100,0,Stable
24.96,40,45,53,120,0,Stable
18.46,4,0,30,6,0,Failure
22.38,3.35,35,30,10,0,Stable
21.98,6.65,36,45,50,0,Failure
18.8,5.1,30,25,10.6,0.38,Stable
18.8,4.8,25,31,76.8,0.38,Failure
21.47,2.3,30,30,88,0.45,Failure
13.97,4,26,45,20,0.12,Failure
17.98,8,30,45,15,0.25,Failure
22.38,33.3,45,45,10,0.4,Stable
22.38,3.35,35,45,50,0.25,Failure
19.97,6.65,36,45,50,0.25,Failure
19.97,6.65,36,45,50,0.5,Failure
20.96,15,25,49,12,0.3,Stable
20.96,10,35,40,12,0.4,Stable
19.97,13.35,30,30,15,0.3,Stable
17.98,15,25,25,14,0.3,Stable
18.97,10,35,35,11,0.2,Stable
19.97,13.35,40,40,10,0.2,Stable
18.83,8.25,21,21,37,0.5,Stable
18.83,3.45,21,34,37,0.3,Failure
18.77,8.35,10,25,50,0.2,Failure
18.77,6.65,10,25,50,0.3,Failure
19.08,3.35,10,25,50,0.4,Failure
18.77,6.65,20,30,50,0.3,Failure
19.08,3.35,20,30,50,0.4,Failure
21.98,6.65,22,20,180,0,Failure
21.98,6.65,22,20,180,0.1,Failure
20,20,36,45,50,0,Failure
27,27.3,29.1,21,565,0.26,Failure
27,27.3,29.1,35,150,0.22,Failure
27,27.3,29.1,37,184,0.3,Failure
0.657,0.176,0.333,0.66,0.041,0,Failure
1,0.196,0.778,0.66,0.5,0,Stable
0.914,1,1,0.943,1,0,Stable
0.65,0.167,0,0.566,0.03,0,Failure
0.752,0.067,0.674,0.566,0.1,0,Stable
0.563,0.467,0.444,0.755,0.575,0,Failure
0.718,0.166,0.289,0.415,0.053,0.7,Stable
0.69,0.08,0.444,0.415,0.061,0.81,Failure
0.767,0.057,0.711,0.528,0.064,0.98,Failure
0.718,0.223,0.244,0.302,0.229,0.4,Failure
0.67,0.078,0.622,0.66,0.105,0.22,Failure
0.633,0.033,0.667,0.377,0.04,0.6,Stable
0.738,0.133,0.889,0.755,0.06,0,Stable
0.738,0.233,0.622,0.755,0.06,1,Stable
0.703,0.067,0.644,0.642,0.03,0.6,Stable
0.661,0.2,0.222,0.472,0.25,0.2,Stable
0.661,0.2,0.444,0.566,0.25,0.2,Stable
0.661,0.167,0.444,0.566,0.25,0.4,Failure
0.724,0.108,0.589,0.566,0.2,0,Failure
0.58,0.077,0,0.566,0.018,0,Failure
0.662,0.096,0.556,0.377,0.153,0,Stable
0.662,0.383,0.444,0.377,0.153,0,Stable
1,0.261,0.844,0.66,0.5,0,Stable
0.492,0.08,0.578,0.566,0.44,0,Failure
0.879,0.8,1,1,0.6,0,Stable
0.65,0.08,0,0.566,0.03,0,Failure
0.788,0.067,0.778,0.566,0.05,0,Stable
0.774,0.133,0.8,0.849,0.25,0,Failure
0.662,0.102,0.667,0.472,0.053,0.76,Stable
0.662,0.096,0.556,0.377,0.153,0.9,Failure
0.756,0.046,0.667,0.585,0.384,0.76,Failure
0.492,0.08,0.578,0.566,0.44,0.9,Failure
0.633,0.16,0.67,0.849,0.1,0.24,Failure
0.788,0.666,1,0.849,0.075,0.5,Stable
0.788,0.067,0.778,0.849,0.05,0.8,Failure
0.703,0.133,0.8,0.849,0.25,0.5,Failure
0.703,0.133,0.8,0.849,0.25,1,Failure
0.738,0.3,0.556,0.925,0.06,0.6,Stable
0.738,0.2,0.778,0.755,0.06,0.8,Stable
0.703,0.267,0.667,0.566,0.075,0.6,Stable
0.633,0.3,0.556,0.472,0.07,0.6,Stable
0.668,0.2,0.778,0.66,0.055,0.4,Stable
0.703,0.267,0.889,0.755,0.05,0.4,Stable
0.633,0.165,0.473,0.551,0.185,1,Failure
0.633,0.069,0.473,0.642,0.185,0.6,Failure
0.661,0.167,0.222,0.472,0.25,0.4,Failure
0.661,0.133,0.222,0.472,0.25,0.6,Failure
0.672,0.067,0.222,0.472,0.25,0.8,Failure
0.661,0.133,0.444,0.566,0.25,0.6,Failure
0.672,0.067,0.444,0.566,0.25,0.8,Failure
0.774,0.133,0.489,0.377,0.9,0,Failure
0.774,0.133,0.489,0.377,0.9,0.2,Failure
17.6,39.5,30.2,50,38,0.04,Stable
17.3,39,30,50,35,0.04,Stable
17.8,38.7,30.5,60,26,0,Stable
17.9,39,31.2,55,25,0.15,Stable
17.3,39,30,50,26,0.2,Stable
17.3,37.9,30,45,29,0.37,Stable
17.5,38.5,29,50,33,0.2,Stable
17.5,39.2,29.7,55,31,0,Stable
17.8,39.8,31.3,45,32,0.34,Stable
17.3,39,30,48,30,0.03,Stable
18.3,57.2,38.6,38,31,0.64,Stable
17.4,5,43.5,58,29,0.05,Failure
17.8,14,44.2,65,31,0.07,Failure
17.4,0,43.7,60,26,0.4,Failure
19.8,57.5,41.3,62,23,0.19,Stable
20.5,6.5,12.5,42,70,0,Failure
21.4,7.1,16.7,44,70,1,Failure
21.5,9.5,11.5,40,75,0,Failure
20.6,6.7,9.4,45,30,0,Failure
20.9,9.7,18.5,39,38,1,Failure
21.4,9.4,21.8,30,106,1,Failure
19.9,6.8,19.4,30,80,1,Failure
20.2,14.9,18.5,40,70,1,Failure
19,9,15.2,45,27,0,Failure
19.7,16.4,21.4,30,55,1,Failure
21.2,7.8,22.4,45,25,1,Failure
19.9,7.4,15.6,44,30,1,Failure
19.9,7.1,21.2,30,55,0,Failure
22.2,10.7,25.2,35,45,1,Failure
21.8,7.2,17.8,40,34,1,Failure
